"编号","类别","中文文案","中文来源","源码原文","出现位置","审核意见"
"NT0263","错误与失败提示","RPC {变量1} 失败。","中文审核译文；当前源码为英文模板","RPC {变量1} failed","src/api/codexGateway.ts:518",""
"NT0264","错误与失败提示","RPC {变量1} 在请求发出前失败。","中文审核译文；当前源码为英文模板","RPC {变量1} failed before request was sent","src/api/codexRpcClient.ts:45",""
"NT0265","错误与失败提示","Service Worker 注册失败。","现有中文/翻译","Service worker registration failed.","src/main.ts:18",""
"NT0266","状态与功能提醒","，内容已截取","现有中文/翻译","，内容已截取","src/taskExcerpt.ts:30",""
"NT0267","状态与功能提醒","；保持启用即可等待额度重置。","现有中文/翻译","；保持启用即可等待恢复。","src/components/api-proxy/ApiProxyPanel.vue:9",""
"NT0268","状态与功能提醒","；仅包含已收到的事件。","现有中文/翻译","；仅包含已收到的事件。","src/components/content/ThreadProcessPanel.vue:9",""
"NT0269","状态与功能提醒","；请核对当前列表。","现有中文/翻译","；请核对当前列表。","src/components/content/ThreadProcessPanel.vue:219",""
"NT0270","状态与功能提醒","· 已安装","现有中文/翻译","· 已安装","src/components/content/DirectoryHub.vue:23",""
"NT0271","状态与功能提醒","”后无法重新启用。","现有中文/翻译","”后无法重新启用。","src/components/api-proxy/ApiProxyPanel.vue:106",""
"NT0272","状态与功能提醒","{{account}} 的5小时额度已重置，剩余 {{remaining}}%，下次重置 {{reset_at}}","现有中文/翻译","{{account}} 的5小时额度已重置，剩余 {{remaining}}%，下次重置 {{reset_at}}","src/accountNotifications.ts:11",""
"NT0273","状态与功能提醒","{{account}} 的主额度已重置，剩余 {{remaining}}%，下次重置 {{reset_at}}","现有中文/翻译","{{account}} 的主额度已重置，剩余 {{remaining}}%，下次重置 {{reset_at}}","src/accountNotifications.ts:11",""
"NT0274","状态与功能提醒","{变量1}（暂不可用）","现有中文/翻译","{变量1}（暂不可用）","src/components/settings/ConversationDefaults.vue:23",""
"NT0275","状态与功能提醒","402 需要付费","现有中文/翻译","402 Payment Required","src/App.vue:2583",""
"NT0276","状态与功能提醒","保存的模型属于其他来源，请重新选择模型。","现有中文/翻译","保存的模型属于其他来源，请重新选择模型。","src/composables/useDesktopState.ts:1505",""
"NT0277","状态与功能提醒","保存的模型暂不可用，请重新选择模型。","现有中文/翻译","保存的模型暂不可用，请重新选择模型。","src/composables/useDesktopState.ts:1506",""
"NT0278","状态与功能提醒","保存中…","现有中文/翻译","保存中…","src/components/settings/AccountActivation.vue:3",""
"NT0279","状态与功能提醒","保护选项无效","现有中文/翻译","保护选项无效","src/automationOptions.ts:13",""
"NT0280","状态与功能提醒","本次已运行，但 Codex 返回的用量为 0，剩余预算暂不显示。","现有中文/翻译","本次已运行，但 Codex 返回的用量为 0，剩余预算暂不显示。","src/components/content/ThreadGoalCard.vue:7",""
"NT0281","状态与功能提醒","必须填写 RRULE。","现有中文/翻译","RRULE is required.","src/components/sidebar/SidebarThreadTree.vue:1728",""
"NT0282","状态与功能提醒","不可用","现有中文/翻译","不可用","src/subtasks.ts:25",""
"NT0283","状态与功能提醒","不可用账号","现有中文/翻译","Unavailable account","src/App.vue:2623",""
"NT0284","状态与功能提醒","不支持该模型。","中文审核译文；当前源码为英文","model is not supported","src/composables/useDesktopState.ts:597",""
"NT0285","状态与功能提醒","查看已配置服务、连接状态与可用工具。","现有中文/翻译","查看已配置服务、连接状态与可用工具。","src/components/content/DirectoryHub.vue:57",""
"NT0286","状态与功能提醒","成功（空结果）","现有中文/翻译","Success (Empty)","src/components/content/ThreadPendingRequestPanel.vue:220",""
"NT0287","状态与功能提醒","持续时间请填写正整数天数，留空为无限。","现有中文/翻译","持续时间请填写正整数天数，留空为无限。","src/components/api-proxy/ApiProxyPanel.vue:256",""
"NT0288","状态与功能提醒","窗口大小不可用","现有中文/翻译","Window size unavailable","src/App.vue:1831",""
"NT0289","状态与功能提醒","此插件当前不可安装","现有中文/翻译","此插件当前不可安装","src/components/content/DirectoryHub.vue:112",""
"NT0290","状态与功能提醒","此浏览器不支持文件分享。","中文审核译文；当前源码为英文","File sharing is not supported in this browser.","src/App.vue:2922",""
"NT0291","状态与功能提醒","此提交已停止跟踪，请核对会话后再发送新消息","现有中文/翻译","此提交已停止跟踪，请核对会话后再发送新消息","src/api/codexGateway.ts:2000",""
"NT0292","状态与功能提醒","此文件夹未找到 Git 分支。","现有中文/翻译","No Git branches found for this folder.","src/App.vue:563",""
"NT0293","状态与功能提醒","此重置机会已不可用","现有中文/翻译","此重置机会已不可用","src/components/accounts/AccountResetCredits.vue:58",""
"NT0294","状态与功能提醒","当前 CLI 不支持 Hooks 配置查询","现有中文/翻译","当前 CLI 不支持 Hooks 配置查询","src/components/content/ThreadProcessPanel.vue:123",""
"NT0295","状态与功能提醒","当前 CLI 不支持后台终端查询","现有中文/翻译","当前 CLI 不支持后台终端查询","src/components/content/ThreadProcessPanel.vue:132",""
"NT0296","状态与功能提醒","当前 Codex 运行时不支持此命令，请检查 CLI 版本。","现有中文/翻译","当前 Codex 运行时不支持此命令，请检查 CLI 版本。","src/components/content/ThreadCommandDialog.vue:209",""
"NT0297","状态与功能提醒","当前 Codex CLI 不支持 MCP 状态 API，请更新 CLI 以查看 MCP 服务器。","现有中文/翻译","MCP status APIs unavailable in this Codex CLI. Update Codex CLI to inspect MCP servers.","src/components/content/DirectoryHub.vue:59",""
"NT0298","状态与功能提醒","当前浏览器无法自动复制，请选中 key 手动复制。","现有中文/翻译","当前浏览器无法自动复制，请选中 key 手动复制。","src/components/api-proxy/ApiProxyPanel.vue:283",""
"NT0299","状态与功能提醒","当前没有已完成的助手回复可复制","现有中文/翻译","当前没有已完成的助手回复可复制","src/api/threadCommands.ts:47",""
"NT0300","状态与功能提醒","当前模型不支持图片，请更换模型或移除图片。","现有中文/翻译","当前模型不支持图片，请更换模型或移除图片。","src/modelCapabilities.ts:84",""
"NT0301","状态与功能提醒","当前任务运行中，请等待结束后再操作。","现有中文/翻译","当前任务运行中，请等待结束后再操作。","src/components/content/ThreadCommandDialog.vue:120",""
"NT0302","状态与功能提醒","当前任务运行中，请等待结束后再压缩。","现有中文/翻译","当前任务运行中，请等待结束后再压缩。","src/api/threadCompaction.ts:135",""
"NT0303","状态与功能提醒","当前显示前 200 条；请缩小搜索范围。","现有中文/翻译","当前显示前 200 条；请缩小搜索范围。","src/components/content/TaskSearchDialog.vue:23",""
"NT0304","状态与功能提醒","当前账号使用：{变量1} · {变量2}；已保存偏好不变。","现有中文/翻译","当前账号使用：{变量1} · {变量2}；已保存偏好不变。","src/components/settings/ConversationDefaults.vue:31",""
"NT0305","状态与功能提醒","导出当前已加载会话内容为 Markdown","现有中文/翻译","导出当前已加载会话内容为 Markdown","src/components/content/composerCommands.ts:24",""
"NT0306","状态与功能提醒","登录会话已结束，请重新开始。","现有中文/翻译","登录会话已结束，请重新开始。","src/components/accounts/AccountLoginDialog.vue:70",""
"NT0307","状态与功能提醒","等待处理","现有中文/翻译","等待处理","src/components/content/AutomationRunList.vue:23",""
"NT0308","状态与功能提醒","等待此会话的 Codex tokenUsage 更新事件。","现有中文/翻译","Waiting for Codex thread/tokenUsage/updated events for this thread.","src/App.vue:1790",""
"NT0309","状态与功能提醒","等待额度","现有中文/翻译","等待额度","src/components/sidebar/SidebarThreadTree.vue:944",""
"NT0310","状态与功能提醒","等待回复","现有中文/翻译","Awaiting response","src/components/content/ThreadPendingRequestPanel.vue:366；src/components/sidebar/SidebarThreadTree.vue:2978",""
"NT0311","状态与功能提醒","等待批准","现有中文/翻译","Awaiting approval","src/components/content/ThreadPendingRequestPanel.vue:364；src/components/sidebar/SidebarThreadTree.vue:2978",""
"NT0312","状态与功能提醒","等待请求结束的上限（秒）","现有中文/翻译","等待请求结束的上限（秒）","src/components/api-proxy/ApiProxyPanel.vue:17",""
"NT0313","状态与功能提醒","等待数据中","现有中文/翻译","Awaiting data","src/App.vue:1818",""
"NT0314","状态与功能提醒","等待子任务","现有中文/翻译","等待子任务","src/subtasks.ts:26",""
"NT0315","状态与功能提醒","读取中…","现有中文/翻译","读取中…","src/components/content/AutomationRunHistory.vue:15；src/components/content/ThreadCommandDialog.vue:6；src/components/content/ThreadProcessPanel.vue:6；src/components/content/ThreadTasksPanel.vue:14；src/components/settings/AccountActivation.vue:28",""
"NT0316","状态与功能提醒","额度不可用","现有中文/翻译","Quota unavailable","src/App.vue:2611；src/App.vue:2614；src/components/accounts/AccountPanel.vue:20",""
"NT0317","状态与功能提醒","额度读取超时，仍等待原请求结束","现有中文/翻译","额度读取超时，仍等待原请求结束","src/quotaRefresh.ts:9",""
"NT0318","状态与功能提醒","额度已重置","现有中文/翻译","额度已重置","src/components/accounts/AccountResetCredits.vue:58",""
"NT0319","状态与功能提醒","发送状态无效，请刷新页面核对","现有中文/翻译","发送状态无效，请刷新页面核对","src/delivery.ts:52",""
"NT0320","状态与功能提醒","反馈诊断无法监测请求：{变量1}","中文审核译文；当前源码为英文模板","Feedback diagnostics could not monitor fetch: {变量1}","src/composables/useFeedbackDiagnostics.ts:160",""
"NT0321","状态与功能提醒","反馈诊断无法监测请求：window.fetch 不可用。","中文审核译文；当前源码为英文","Feedback diagnostics could not monitor fetch: window.fetch is unavailable","src/composables/useFeedbackDiagnostics.ts:119",""
"NT0322","状态与功能提醒","复制最近一条已完成的助手回复","现有中文/翻译","复制最近一条已完成的助手回复","src/components/content/composerCommands.ts:18",""
"NT0323","状态与功能提醒","该次重置已完成","现有中文/翻译","该次重置已完成","src/components/accounts/AccountResetCredits.vue:58",""
"NT0324","状态与功能提醒","该任务尚无可引用的用户或最终回复。","现有中文/翻译","该任务尚无可引用的用户或最终回复。","src/components/content/TaskSearchDialog.vue:95",""
"NT0325","状态与功能提醒","该消息已发送或已被其他页面移除，请刷新队列","现有中文/翻译","该消息已发送或已被其他页面移除，请刷新队列","src/threadQueue.ts:83",""
"NT0326","状态与功能提醒","个请求正在处理。客户端会收到中断，需要重新连接。","现有中文/翻译","个请求正在处理。客户端会收到中断，需要重新连接。","src/components/api-proxy/ApiProxyPanel.vue:118",""
"NT0327","状态与功能提醒","工具调用正在等待响应","中文审核译文；当前源码为英文","Tool call waiting for response","src/components/content/ThreadPendingRequestPanel.vue:367",""
"NT0328","状态与功能提醒","官方插件详情暂不可用（404），请稍后重试。","现有中文/翻译","官方插件详情暂不可用（404），请稍后重试。","src/directory.ts:8",""
"NT0329","状态与功能提醒","后台终端响应无效","现有中文/翻译","后台终端响应无效","src/processActivity.ts:88",""
"NT0330","状态与功能提醒","基础分支不可用","现有中文/翻译","Base branch unavailable","src/components/content/ReviewPane.vue:122",""
"NT0331","状态与功能提醒","基础分支不可用。","中文审核译文；当前源码为英文","Base branch is unavailable","src/api/codexGateway.ts:2881",""
"NT0332","状态与功能提醒","激活设置暂不可用","现有中文/翻译","激活设置暂不可用","src/components/settings/AccountActivation.vue:119",""
"NT0333","状态与功能提醒","技能列表响应无效","现有中文/翻译","技能列表响应无效","src/directory.ts:44",""
"NT0334","状态与功能提醒","加载额度中…","现有中文/翻译","Loading quota…","src/App.vue:2608；src/components/accounts/AccountPanel.vue:20",""
"NT0335","状态与功能提醒","加载分支中…","现有中文/翻译","Loading branches…","src/App.vue:560",""
"NT0336","状态与功能提醒","加载会话中...","现有中文/翻译","Loading threads...","src/components/sidebar/SidebarThreadTree.vue:183",""
"NT0337","状态与功能提醒","加载技能内容中...","现有中文/翻译","Loading skill contents...","src/components/content/SkillDetailModal.vue:30",""
"NT0338","状态与功能提醒","加载技能中...","现有中文/翻译","Loading skills...","src/components/content/SkillsHub.vue:76",""
"NT0339","状态与功能提醒","加载审查状态中","现有中文/翻译","Loading review state","src/components/content/ReviewPane.vue:106",""
"NT0340","状态与功能提醒","加载文件夹中…","现有中文/翻译","Loading folders…","src/App.vue:511",""
"NT0341","状态与功能提醒","检查结果后重试","现有中文/翻译","检查结果后重试","src/components/content/AutomationRunList.vue:10",""
"NT0342","状态与功能提醒","仅包含版本、界面信息和错误类别；可补充复现步骤后复制。","现有中文/翻译","仅包含版本、界面信息和错误类别；可补充复现步骤后复制。","src/components/content/FeedbackReportDialog.vue:3",""
"NT0343","状态与功能提醒","近期请求（本次运行）","现有中文/翻译","近期请求（本次运行）","src/components/api-proxy/ApiProxyPanel.vue:69",""
"NT0344","状态与功能提醒","进程已不在后台列表。","现有中文/翻译","进程已不在后台列表。","src/components/content/ThreadProcessPanel.vue:217",""
"NT0345","状态与功能提醒","扩展列表返回重复游标，请刷新重试","现有中文/翻译","扩展列表返回重复游标，请刷新重试","src/directory.ts:107",""
"NT0346","状态与功能提醒","扩展列表响应无效","现有中文/翻译","扩展列表响应无效","src/directory.ts:103",""
"NT0347","状态与功能提醒","浏览、管理已安装插件","现有中文/翻译","浏览、管理已安装插件","src/components/content/composerCommands.ts:21",""
"NT0348","状态与功能提醒","浏览器未能保存发送记录，消息尚未提交；请释放本地存储空间","现有中文/翻译","浏览器未能保存发送记录，消息尚未提交；请释放本地存储空间","src/api/deliveryOutbox.ts:83",""
"NT0349","状态与功能提醒","浏览器无法保存发送记录，请允许本地存储后重试","现有中文/翻译","浏览器无法保存发送记录，请允许本地存储后重试","src/api/deliveryOutbox.ts:29",""
"NT0350","状态与功能提醒","浏览器中的发送记录损坏，请先核对队列","现有中文/翻译","浏览器中的发送记录损坏，请先核对队列","src/api/deliveryOutbox.ts:45",""
"NT0351","状态与功能提醒","浏览器中的发送记录无效，请先核对队列","现有中文/翻译","浏览器中的发送记录无效，请先核对队列","src/api/deliveryOutbox.ts:47",""
"NT0352","状态与功能提醒","麦克风访问被拒绝。","现有中文/翻译","Microphone access was denied.","src/components/content/ThreadComposer.vue:555",""
"NT0353","状态与功能提醒","免打扰时间请填写HH:mm。","现有中文/翻译","免打扰时间请填写HH:mm。","src/accountNotifications.ts:8；src/accountNotifications.ts:34",""
"NT0354","状态与功能提醒","模型目录格式无效","现有中文/翻译","模型目录格式无效","src/api/modelCatalog.ts:64",""
"NT0355","状态与功能提醒","模型未公布服务档位 {变量1}，请重新选择或使用标准速度。","现有中文/翻译","模型未公布服务档位 {变量1}，请重新选择或使用标准速度。","src/modelCapabilities.ts:83",""
"NT0356","状态与功能提醒","模型未公布思考强度 {变量1}，请重新选择或使用模型默认。","现有中文/翻译","模型未公布思考强度 {变量1}，请重新选择或使用模型默认。","src/modelCapabilities.ts:82",""
"NT0357","状态与功能提醒","目标保存结果缺失，请重新读取","现有中文/翻译","持续目标保存结果缺失，请重新读取","src/api/threadCommands.ts:38",""
"NT0358","状态与功能提醒","目标通知不完整，请重新打开。","现有中文/翻译","持续目标通知不完整，请重新打开。","src/components/content/ThreadCommandDialog.vue:198",""
"NT0359","状态与功能提醒","目标已被清除，请重新读取。","现有中文/翻译","持续目标已被清除，请重新读取。","src/components/content/ThreadCommandDialog.vue:155",""
"NT0360","状态与功能提醒","目标已在其他位置修改，请重新读取后再编辑。","现有中文/翻译","目标已在其他位置修改，请重新读取后再编辑。","src/components/content/ThreadCommandDialog.vue:98",""
"NT0361","状态与功能提醒","目标已在其他位置修改。请重新读取后再编辑。","现有中文/翻译","目标已在其他位置修改。请重新读取后再编辑。","src/components/content/ThreadCommandDialog.vue:10",""
"NT0362","状态与功能提醒","能力检测暂时不可用","现有中文/翻译","能力检测暂时不可用","src/App.vue:1456",""
"NT0363","状态与功能提醒","排序目标已变化，请刷新队列","现有中文/翻译","排序目标已变化，请刷新队列","src/threadQueue.ts:88",""
"NT0364","状态与功能提醒","配置列表已截断。","现有中文/翻译","配置列表已截断。","src/components/content/ThreadProcessPanel.vue:24",""
"NT0365","状态与功能提醒","配置已变更","现有中文/翻译","配置已变更","src/components/content/ThreadProcessPanel.vue:94",""
"NT0366","状态与功能提醒","切换分支或 Reset 前，请先 Commit、Stash 或丢弃已跟踪文件的更改。未跟踪文件可以保留，除非 Git 会覆盖它们。","现有中文/翻译","Tracked changes must be committed, stashed, or discarded before switching or resetting. Untracked files are allowed unless Git would overwrite them.","src/components/content/HeaderGitBranchDropdown.vue:268",""
"NT0367","状态与功能提醒","切换时等待当前请求结束。","现有中文/翻译","切换时等待当前请求结束。","src/components/api-proxy/ApiProxyPanel.vue:20",""
"NT0368","状态与功能提醒","请等待当前任务结束后再操作","现有中文/翻译","请等待当前任务结束后再操作","src/App.vue:3560",""
"NT0369","状态与功能提醒","请回答后继续。","现有中文/翻译","请回答后继续。","src/components/content/ThreadPendingRequestPanel.vue:378",""
"NT0370","状态与功能提醒","请回答每个问题后再发送。","现有中文/翻译","请回答每个问题后再发送。","src/components/content/AsyncQuestionCard.vue:56；src/components/content/ThreadPendingRequestPanel.vue:944；src/userQuestions.ts:35",""
"NT0371","状态与功能提醒","请求地址","现有中文/翻译","请求地址","src/components/settings/NotificationSettings.vue:6",""
"NT0372","状态与功能提醒","请求体须包含 {{message}} 占位符。","现有中文/翻译","请求体须包含 {{message}} 占位符。","src/accountNotifications.ts:32",""
"NT0373","状态与功能提醒","请填写1至16个提前时间，例如7d, 3d, 12h","现有中文/翻译","请填写1至16个提前时间，例如7d, 3d, 12h","src/accountNotifications.ts:53",""
"NT0374","状态与功能提醒","请填写必填项：{变量1}。","中文审核译文；当前源码为英文模板","Answer the required field: {变量1}.","src/components/content/ThreadPendingRequestPanel.vue:827",""
"NT0375","状态与功能提醒","请填写这些必填项：{变量1}。","中文审核译文；当前源码为英文模板","Answer the required fields: {变量1}.","src/components/content/ThreadPendingRequestPanel.vue:828",""
"NT0376","状态与功能提醒","请先保存目标或预算的修改，再继续。","现有中文/翻译","请先保存目标或预算的修改，再继续。","src/components/content/ThreadCommandDialog.vue:158；src/components/content/ThreadCommandDialog.vue:24",""
"NT0377","状态与功能提醒","请先进入一个会话","现有中文/翻译","请先进入一个会话","src/App.vue:3559",""
"NT0378","状态与功能提醒","请先进入一个会话。","现有中文/翻译","请先进入一个会话。","src/components/content/ThreadCommandDialog.vue:120",""
"NT0379","状态与功能提醒","请先添加 GPT 账号。","现有中文/翻译","请先添加 GPT 账号。","src/components/settings/AccountActivation.vue:11",""
"NT0380","状态与功能提醒","请现在保存完整 key，关闭后不会再次显示。","现有中文/翻译","请现在保存完整 key，关闭后不会再次显示。","src/components/api-proxy/ApiProxyPanel.vue:102",""
"NT0381","状态与功能提醒","请选择 1–24 个有效时间（HH:mm）","现有中文/翻译","请选择 1–24 个有效时间（HH:mm）","src/automationDailyTimes.ts:5",""
"NT0382","状态与功能提醒","请选择有效的 IANA 时区。","现有中文/翻译","请选择有效的 IANA 时区。","src/dateTime.ts:32",""
"NT0383","状态与功能提醒","请选择有效的服务档位","现有中文/翻译","请选择有效的服务档位","src/automationOptions.ts:7",""
"NT0384","状态与功能提醒","请选择有效的模型","现有中文/翻译","请选择有效的模型","src/automationOptions.ts:8",""
"NT0385","状态与功能提醒","请选择有效的推理强度","现有中文/翻译","请选择有效的思考强度","src/automationOptions.ts:9",""
"NT0386","状态与功能提醒","请选择有效的账号","现有中文/翻译","请选择有效的账号","src/automationOptions.ts:12",""
"NT0387","状态与功能提醒","请选择有效时区","现有中文/翻译","请选择有效时区","src/accountActivation.ts:11；src/accountActivation.ts:12",""
"NT0388","状态与功能提醒","请选择SVG、PNG或ICO文件","现有中文/翻译","请选择SVG、PNG或ICO文件","src/components/settings/WebUiBrandingSettings.vue:59",""
"NT0389","状态与功能提醒","请阅读当前项目结构与已有说明，创建或完善项目 AGENTS.md，记录实际开发、测试及目录约定。保留已有有效规则，不猜测未核实的命令；先说明准备修改的内容。","现有中文/翻译","请阅读当前项目结构与已有说明，创建或完善项目 AGENTS.md，记录实际开发、测试及目录约定。保留已有有效规则，不猜测未核实的命令；先说明准备修改的内容。","src/components/content/ThreadComposer.vue:672",""
"NT0390","状态与功能提醒","全局 npm 安装需要更高权限，正在使用 --prefix {变量1} 重试…","中文审核译文；当前源码为英文模板","Global npm install requires elevated permissions. Retrying with --prefix {变量1}...","src/cli/index.ts:72",""
"NT0391","状态与功能提醒","缺少 project path。","中文审核译文；当前源码为英文","Missing project path","src/cli/index.ts:232",""
"NT0392","状态与功能提醒","缺少目标会话","现有中文/翻译","缺少目标会话","src/App.vue:3563",""
"NT0393","状态与功能提醒","任务分页未前进，请刷新后重试。","现有中文/翻译","任务分页未前进，请刷新后重试。","src/components/content/ThreadTasksPanel.vue:63",""
"NT0394","状态与功能提醒","任务分页未前进，请重新搜索。","现有中文/翻译","任务分页未前进，请重新搜索。","src/components/content/TaskSearchDialog.vue:76",""
"NT0395","状态与功能提醒","任务列表格式不可用，请刷新后重试。","现有中文/翻译","任务列表格式不可用，请刷新后重试。","src/api/tasks.ts:17",""
"NT0396","状态与功能提醒","筛选已安装技能","现有中文/翻译","筛选已安装技能","src/components/content/SkillsHub.vue:59；src/components/content/SkillsHub.vue:60",""
"NT0397","状态与功能提醒","上下文压缩已中断","现有中文/翻译","上下文压缩已中断","src/api/threadCompaction.ts:96；src/compaction.ts:12",""
"NT0398","状态与功能提醒","尚无执行记录。","现有中文/翻译","尚无执行记录。","src/components/content/AutomationRunHistory.vue:16",""
"NT0399","状态与功能提醒","设置已保存，{变量1}","现有中文/翻译","设置已保存，{变量1}","src/components/content/DirectoryHub.vue:335",""
"NT0400","状态与功能提醒","实际执行模型已变更","现有中文/翻译","实际执行模型已变更","src/composables/useDesktopState.ts:3816",""
"NT0401","状态与功能提醒","使用 ChatGPT 账号运行 Codex 时不支持此操作。","中文审核译文；当前源码为英文","not supported when using codex with a chatgpt account","src/composables/useDesktopState.ts:596",""
"NT0402","状态与功能提醒","事件类型：{变量1}
{变量2}已记录执行事件；完整内容保留在 CLI 会话中。","现有中文/翻译","事件类型：{变量1}
{变量2}已记录执行事件；完整内容保留在 CLI 会话中。","src/api/normalizers/toolSummary.ts:19",""
"NT0403","状态与功能提醒","输出已截断。","现有中文/翻译","输出已截断。","src/components/content/HookRunCard.vue:13",""
"NT0404","状态与功能提醒","搜索并打开已有会话","现有中文/翻译","搜索并打开已有会话","src/components/content/composerCommands.ts:19",""
"NT0405","状态与功能提醒","所选账号不支持此模型，请重新选择","现有中文/翻译","所选账号不支持此模型，请重新选择","src/components/sidebar/SidebarThreadTree.vue:2153",""
"NT0406","状态与功能提醒","提交结果待核对，请查看会话","现有中文/翻译","提交结果待核对，请查看会话","src/components/sidebar/SidebarThreadTree.vue:944",""
"NT0407","状态与功能提醒","提前时间格式无效","现有中文/翻译","提前时间格式无效","src/accountNotifications.ts:51",""
"NT0408","状态与功能提醒","提前时间请使用天d或小时h，例如1d12h","现有中文/翻译","提前时间请使用天d或小时h，例如1d12h","src/accountNotifications.ts:57",""
"NT0409","状态与功能提醒","通知设置格式错误。","现有中文/翻译","通知设置格式错误。","src/accountNotifications.ts:6；src/accountNotifications.ts:26",""
"NT0410","状态与功能提醒","未保存","中文审核译文；当前源码为英文","Not saved","src/dateTime.ts:36",""
"NT0411","状态与功能提醒","未能保存编辑关联；原消息仍保留在队列中，可点击“继续编辑”恢复","现有中文/翻译","未能保存编辑关联；原消息仍保留在队列中，可点击“继续编辑”恢复","src/App.vue:3639",""
"NT0412","状态与功能提醒","未找到本次压缩的完整结果。","现有中文/翻译","未找到本次压缩的完整结果。","src/api/threadCompaction.ts:121",""
"NT0413","状态与功能提醒","未找到分支。","现有中文/翻译","No branches found.","src/components/content/HeaderGitBranchDropdown.vue:179",""
"NT0414","状态与功能提醒","未找到匹配任务。","现有中文/翻译","未找到匹配任务。","src/components/content/TaskSearchDialog.vue:10",""
"NT0415","状态与功能提醒","未找到提交。","现有中文/翻译","No commits found.","src/components/content/HeaderGitBranchDropdown.vue:137",""
"NT0416","状态与功能提醒","未找到相对基础分支的合并 diff。","现有中文/翻译","No merge diff found against the base branch.","src/components/content/ReviewPane.vue:433",""
"NT0417","状态与功能提醒","未找到已安装的技能。","现有中文/翻译","No installed skills found.","src/components/content/SkillsHub.vue:81",""
"NT0418","状态与功能提醒","问题状态已变化，请刷新会话后重试。","现有中文/翻译","问题状态已变化，请刷新会话后重试。","src/composables/useDesktopState.ts:4916",""
"NT0419","状态与功能提醒","无法保存显示时区，请检查浏览器存储后重试。","现有中文/翻译","无法保存显示时区，请检查浏览器存储后重试。","src/dateTime.ts:38",""
"NT0420","状态与功能提醒","无法保存压缩请求状态，请检查浏览器存储后重试。","现有中文/翻译","无法保存压缩请求状态，请检查浏览器存储后重试。","src/api/threadCompaction.ts:49",""
"NT0421","状态与功能提醒","无法撤回历史。","现有中文/翻译","无法撤回历史。","src/App.vue:4388",""
"NT0422","状态与功能提醒","无法创建历史分支。","现有中文/翻译","无法创建历史分支。","src/App.vue:3147；src/composables/useDesktopState.ts:4891",""
"NT0423","状态与功能提醒","无法从该回合创建分支。","现有中文/翻译","无法从该回合创建分支。","src/api/codexGateway.ts:1766",""
"NT0424","状态与功能提醒","无法读取发送队列","现有中文/翻译","无法读取发送队列","src/composables/useDesktopState.ts:4287",""
"NT0425","状态与功能提醒","无法读取发送队列，请稍后重试","现有中文/翻译","无法读取发送队列，请稍后重试","src/api/codexGateway.ts:2534",""
"NT0426","状态与功能提醒","无法读取历史回合。","现有中文/翻译","无法读取历史回合。","src/api/codexGateway.ts:1755",""
"NT0427","状态与功能提醒","无法读取压缩状态，请稍后重试。","现有中文/翻译","无法读取压缩状态，请稍后重试。","src/api/threadCompaction.ts:58",""
"NT0428","状态与功能提醒","无法附加","现有中文/翻译","Could not attach","src/components/content/ThreadComposer.vue:789",""
"NT0429","状态与功能提醒","无法附加文件。","现有中文/翻译","Could not attach file.","src/components/content/ThreadComposer.vue:789",""
"NT0430","状态与功能提醒","无法确定要中断的活动回合 ID。","中文审核译文；当前源码为英文","Could not determine active turn id for interrupt","src/composables/useDesktopState.ts:5239",""
"NT0431","状态与功能提醒","无法为此仓库解析 `origin/HEAD`、`main` 或 `master`。","现有中文/翻译","Could not resolve `origin/HEAD`, `main`, or `master` for this repository.","src/components/content/ReviewPane.vue:123",""
"NT0432","状态与功能提醒","无效的激活设置","现有中文/翻译","无效的激活设置","src/accountActivation.ts:8",""
"NT0433","状态与功能提醒","无效的排队消息","现有中文/翻译","无效的排队消息","src/threadQueue.ts:76",""
"NT0434","状态与功能提醒","下次可重试：","现有中文/翻译","下次可重试：","src/components/api-proxy/ApiProxyPanel.vue:9",""
"NT0435","状态与功能提醒","消息可能已经送达。停止跟踪不会中止已执行的任务；后续消息将可以继续发送。","现有中文/翻译","消息可能已经送达。停止跟踪不会中止已执行的任务；后续消息将可以继续发送。","src/components/content/QueuedMessages.vue:39",""
"NT0436","状态与功能提醒","新会话尚无上下文用量","现有中文/翻译","新会话尚无上下文用量","src/App.vue:3526",""
"NT0437","状态与功能提醒","需审阅的配置请在 Codex CLI 的 /hooks 中处理。","现有中文/翻译","需审阅的配置请在 Codex CLI 的 /hooks 中处理。","src/components/content/ThreadProcessPanel.vue:18",""
"NT0438","状态与功能提醒","需要处理付费状态","现有中文/翻译","Payment required","src/App.vue:2513",""
"NT0439","状态与功能提醒","需要付费","中文审核译文；当前源码为英文","payment required","src/App.vue:2496；src/api/codexGateway.ts:405；src/server/accountTokenRefresh.ts:67",""
"NT0440","状态与功能提醒","需要恢复","现有中文/翻译","Recovery required","src/App.vue:2518；src/App.vue:2588",""
"NT0441","状态与功能提醒","需要认证","现有中文/翻译","需要认证","src/directory.ts:114",""
"NT0442","状态与功能提醒","需要填写 Telegram Bot Token。","现有中文/翻译","Telegram bot token is required.","src/App.vue:2308",""
"NT0443","状态与功能提醒","需要重新登录","现有中文/翻译","Sign-in required","src/App.vue:2512；src/App.vue:2586",""
"NT0444","状态与功能提醒","已安装","现有中文/翻译","已安装","src/components/content/DirectoryHub.vue:160",""
